;;;;;;;;;;;th;SEQUENCING;DNROI;DNROI-OUT;NFIX;NFIX-OUT;DURATION;SEQUENCING;DNROI;DNROI-OUT;NFIX;NFIX-OUT;DURATION;
PT;RM_fix_imm2;Pazienti\RM\2, CABED42135\DATA;9;63,47042758;132,4600228;48;23;384,3958333;regions\CABED42135;;;9;63,47042758;132,4600228;48;23;384,3958333;;;;;;;
PT;RM_fix_imm3;Pazienti\RM\3, ECBAD42135\DATA;8;66,09242789;135,6634046;39;19;471,6153846;regions\ECBAD42135;;;8;66,09242789;135,6634046;39;19;471,6153846;;;;;;;
PT;RM_fix_imm4;Pazienti\RM\4, 32451EDCAB\DATA;8;50,17780585;115,7949366;30;13;312,8666667;regions\32451EDCAB;;;8;50,17780585;115,7949366;30;13;312,8666667;;;;;;;
PT;RMP_fix_imm1;Pazienti\RMP\1, CEABD42531\DATA;5;49,91748097;126,7136055;33;13;563,2727273;regions\CEABD42531;;;5;49,91748097;126,7136055;33;13;563,2727273;;;;;;;
PT;RMP_fix_imm2;Pazienti\RMP\2, DBEAC24531\DATA;10;58,68036831;136,9208594;42;18;431,1904762;regions\DBEAC24531;;;10;58,68036831;136,9208594;42;18;431,1904762;;;;;;;
PT;RMP_fix_imm3;Pazienti\RMP\3, 32451EDCAB\DATA;7;48,6150168;130,6528576;43;16;433,3255814;regions\32451EDCAB;;;7;48,6150168;130,6528576;43;16;433,3255814;;;;;;;
PT;RMP_fix_imm4;Pazienti\RMP\4, 43251EADCB\DATA;7;39,6392526;124,2029915;47;15;397,4255319;regions\43251EADCB;;;7;39,6392526;124,2029915;47;15;397,4255319;;;;;;;
PT;GiGo_fix_imm1;SHIFTED GiGo-32451EDCAB\DATAcalibrated;8;46,41769117;123,7805098;32;12;286,8125;regions\32451EDCAB;;;8;46,41769117;123,7805098;32;12;286,8125;;;;;;;
PT;GiGo_fix_imm2;SHIFTED GiGo\2, 43521EACBD\DATAcalibrated;5;14,4505926;104,7667963;29;4;320,5517241;regions\43521EACBD;;;5;14,4505926;104,7667963;29;4;320,5517241;;;;;;;
PT;GiGo_fix_imm3;SHIFTED GiGo-BDACE24513\DATAcalibrated;7;20,60606677;103,0303339;35;7;257,0571429;regions\BDACE24513;;;7;20,60606677;103,0303339;35;7;257,0571429;;;;;;;
PT;GiGo_fix_imm4;SHITED GiGo-ECBAD42135\DATAcalibrated;7;33,3787877;110,1499994;33;10;278,5151515;regions\ECBAD42135;;;7;33,3787877;110,1499994;33;10;278,5151515;;;;;;;
PT;BF_fix_imm1;Pazienti\BF\1, BDACE24513\DATA;9;58,16083872;118,1392037;65;32;287,8;regions\BDACE24513;;;9;58,16083872;118,1392037;65;32;287,8;;;;;;;
PT;BF_fix_imm2;Pazienti\BF\2, 42351DECAB\DATA;10;64,04159447;124,3160363;66;34;275,2272727;regions\42351DECAB;;;10;64,04159447;124,3160363;66;34;275,2272727;;;;;;;
PT;BF_fix_imm3;Pazienti\BF\3, DCAEB35412\DATA;10;48,75842074;108,7687847;58;26;296,4310345;regions\DCAEB35412;;;10;48,75842074;108,7687847;58;26;296,4310345;;;;;;;
PT;BF_fix_imm4;Pazienti\BF\4, 34251BADCE\DATA;10;61,27599769;118,1751384;54;28;348,5740741;regions\34251BADCE;;;10;61,27599769;118,1751384;54;28;348,5740741;;;;;;;
PT;RI_fix_imm1;Pazienti\RI\1, CABED42135\DATA;7;63,85699069;140,4853795;22;10;385,3636364;regions\CABED42135;;;7;63,85699069;140,4853795;22;10;385,3636364;;;;;;;
PT;RI_fix_imm2;Pazienti\RI\2, DBEAC34521\DATA;4;69,63119887;108,3151982;28;18;312,8214286;regions\DBEAC34521;;;4;69,63119887;108,3151982;28;18;312,8214286;;;;;;;
PT;RI_fix_imm3;Pazienti\RI\3, 42531EADBC\DATA;7;55,31676282;123,3989324;29;13;312,5517241;regions\42531EADBC;;;7;55,31676282;123,3989324;29;13;312,5517241;;;;;;;
PT;RI_fix_imm4;Pazienti\RI\4, 42351DECAB\DATA;7;75,94123763;127,9010318;32;19;258,8125;regions\42351DECAB;;;7;75,94123763;127,9010318;32;19;258,8125;;;;;;;
PT;VT_fix_imm1;Pazienti\VT\1, 43521EACBD\DATA;10;50,78448988;130,5886883;54;21;347,7407407;regions\43521EACBD;;;10;50,78448988;130,5886883;54;21;347,7407407;;;;;;;
PT;VT_fix_imm2;Pazienti\VT\2, DBEAC34521\DATA;10;69,2554712;132,4001655;65;34;279,3846154;regions\DBEAC34521;;;10;69,2554712;132,4001655;65;34;279,3846154;;;;;;;
PT;VT_fix_imm3;Pazienti\VT\3, 42135CABED\DATA;9;73,40261066;131,6929191;61;34;305,7704918;regions\42135CABED;;;9;73,40261066;131,6929191;61;34;305,7704918;;;;;;;
PT;VT_fix_imm4;Pazienti\VT\4, BEACD24531\DATA;6;78,40085484;125,4413677;24;15;437,6666667;regions\BEACD24531;;;6;78,40085484;125,4413677;24;15;437,6666667;;;;;;;
PT;RF_fix_imm1;Pazienti\RF\1, 43215DECAB\DATA;4;78,18938617;139,9178489;34;19;547,7058824;regions\43215DECAB;;;4;78,18938617;139,9178489;34;19;547,7058824;;;;;;;
PT;RF_fix_imm2;Pazienti\RF\2, 42531EADBC\DATA;5;90,18988566;123,6889861;48;35;367,625;regions\42531EADBC;;;5;90,18988566;123,6889861;48;35;367,625;;;;;;;
PT;BM_fix_imm1;BM-43521EACBD-prova2;6;80,12956077;132,714585;53;32;356,245283;regions\43521EACBD;;;6;80,12956077;132,714585;53;32;356,245283;;;;;;;
